timestamp,x,z,30:87:D9:B1:7E:**,30:87:D9:F1:7E:**,30:87:D9:F1:76:**,30:87:D9:F2:38:**,30:87:D9:B1:82:**,30:87:D9:31:97:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:81:**,30:87:D9:31:7C:**,30:87:D9:B1:FC:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:81:**,30:87:D9:B1:89:**,30:87:D9:72:38:**,30:87:D9:71:61:**,30:87:D9:71:5C:**,30:87:D9:B2:06:**,30:87:D9:71:99:**,00:24:6C:26:87:**,30:87:D9:72:06:**,30:87:D9:31:81:**,30:87:D9:F1:F0:**,30:87:D9:F2:06:**,30:87:D9:31:F0:**,30:87:D9:B1:7D:**,30:87:D9:31:95:**,30:87:D9:71:7D:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:71:F0:**,30:87:D9:B1:81:**,30:87:D9:B1:76:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,34:97:F6:6B:EB:**,30:87:D9:F1:7D:**,30:87:D9:B1:97:**,30:87:D9:71:95:**,30:87:D9:B1:F0:**,00:24:6C:2D:1A:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:B1:95:**,30:87:D9:71:7E:**,30:87:D9:71:58:**,30:87:D9:F1:95:**,30:87:D9:71:72:**,78:32:1B:CC:37:**,30:87:D9:71:7F:**,30:87:D9:31:89:**,E4:F0:42:E0:FB:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:97:**,30:87:D9:31:76:**,30:87:D9:71:9A:**,30:87:D9:F1:82:**,B0:6E:BF:3B:A8:**,30:87:D9:71:76:**,30:87:D9:31:7D:**,30:87:D9:31:82:**,30:87:D9:31:FC:**,30:87:D9:32:38:**,30:87:D9:F1:FC:**,30:87:D9:71:82:**
1662467293,1.1289444,20.3331776,-100,-100,-55,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-75,-40,-100,-70,-100,-100,-76,-100,-70,-100,-69,-78,-100,-100,-100,-54,-74,-100,-100,-70,-100,-100,-100,-74,-80,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-78,-100,-100,-54,-100,-100,-100,-54,-70,-100,-100,-100,-100,-100
1662467294,1.1226254,20.3335323,-100,-100,-54,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-40,-100,-74,-100,-100,-76,-100,-63,-100,-64,-78,-100,-100,-100,-54,-77,-100,-100,-63,-100,-100,-100,-76,-80,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-100,-100,-54,-100,-100,-100,-54,-70,-100,-100,-100,-100,-100
1662467295,1.1305847,20.3317356,-80,-100,-44,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-61,-100,-61,-67,-100,-100,-100,-45,-78,-100,-100,-61,-75,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-67,-76,-76,-44,-100,-100,-100,-44,-61,-100,-100,-100,-100,-100
1662467296,1.1345119,20.3335018,-100,-100,-63,-73,-70,-62,-69,-100,-74,-100,-100,-100,-75,-79,-75,-74,-100,-100,-68,-45,-100,-61,-72,-78,-67,-79,-100,-100,-100,-77,-100,-78,-73,-64,-74,-100,-100,-100,-70,-100,-77,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-73,-70,-70,-63,-100,-73,-76,-64,-100,-100,-100,-73,-100,-71
1662467297,1.133667,20.3307114,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-61,-100,-60,-66,-100,-100,-100,-47,-78,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-67,-100,-100,-48,-100,-100,-100,-48,-61,-100,-100,-100,-100,-100
1662467298,1.1283798,20.3360291,-100,-100,-62,-80,-100,-66,-71,-100,-77,-100,-100,-76,-79,-77,-100,-74,-100,-100,-71,-45,-76,-69,-100,-74,-70,-75,-100,-78,-100,-100,-76,-100,-76,-62,-70,-77,-100,-100,-67,-100,-75,-75,-100,-100,-80,-100,-100,-100,-100,-100,-75,-100,-100,-100,-65,-64,-61,-100,-100,-80,-61,-100,-100,-78,-80,-78,-100
1662467299,1.1279373,20.3279057,-80,-79,-55,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-69,-100,-68,-100,-100,-100,-100,-54,-71,-100,-100,-68,-79,-100,-100,-78,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-78,-76,-56,-100,-100,-100,-56,-68,-100,-100,-100,-100,-100
1662467300,1.1324692,20.3290215,-81,-80,-53,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-40,-100,-70,-100,-100,-100,-100,-60,-100,-60,-77,-100,-100,-100,-52,-72,-100,-100,-59,-75,-100,-100,-79,-100,-79,-100,-79,-100,-100,-100,-100,-100,-78,-100,-79,-78,-76,-53,-100,-100,-100,-53,-59,-100,-100,-100,-100,-100
1662467301,1.1359367,20.332407,-100,-100,-67,-80,-100,-74,-72,-100,-100,-100,-100,-76,-100,-100,-79,-100,-100,-100,-71,-45,-78,-70,-100,-100,-70,-100,-100,-100,-100,-81,-76,-100,-100,-67,-70,-76,-100,-100,-73,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-72,-73,-66,-100,-100,-79,-67,-100,-100,-100,-81,-100,-100
1662467302,1.1291218,20.3331356,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-60,-100,-61,-77,-100,-100,-100,-46,-78,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-67,-100,-100,-46,-100,-100,-100,-46,-62,-100,-100,-100,-100,-100
1662467303,1.1389446,20.3332596,-80,-100,-50,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-63,-100,-64,-68,-100,-100,-100,-50,-78,-100,-100,-64,-75,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-78,-76,-76,-49,-100,-100,-100,-49,-65,-100,-100,-100,-100,-100
