timestamp,x,y,3087D97197A8,3087D9316B48,3087D9315A88,3087D9B189C8,3087D9B17F28,3087D9315E88,3087D9B15C08,3087D9318248,3087D9720648,3087D97195E8,3087D9319A68,3087D9B17C4C,3087D97189CC,3087D972388C,3087D9717DC8,3087D9715E88,3087D9B19A68,3087D931D728,784476F094A8,3087D9317D08,3087D9715C0C,3087D9317768,3087D93153CC,3087D9B16B48,E8377AA53A64,3087D93197A8,001132535E07,3087D9717CEC,3087D9715A88,3087D97176AC,3087D93195E8,3087D971724C,3087D9317C4C,3087D97158AC,3087D9B159A8,3087D931724C,3087D9717F6C,3087D9B176A8,3087D93189C8,3087D97159C8,D66A6A4744A7,3087D972064C,3087D9B195E8,3087D971D728,3087D9B15128,3087D9B1D728,3087D97182AC,3087D9B155C8,3087D93159C8,3087D9319C0C,3087D9B197A8,3087D97153CC,3087D9B1614C,001132844802,3087D93155C8,3087D9715588,3087D9315588,3087D9717C4C,3087D971992C,3087D9317DC8,3087D9317FC8,3087D97155C8,3087D9316148,3087D9320648,C0A0BBCF658C,3087D97159A8,3087D931614C,3087D9719C0C,3087D931824C,3087D93159A8,3087D9719A68,3087D971614C,38D5471E6C00,3087D9B15A88,3087D9B17768,3497F66BEBA0,00246C2D1701,3087D9717D08,3087D9B17FC8,3087D9B16148,3087D9B17DC8,3087D9B15588,1C3A6002B2FC,3087D93176AC,3087D9B15E88,3087D9B1724C,3087D9717768,3087D9721E68,3087D9716B48,3087D93152CC,3087D9319908,3087D9719908,3087D9717D0C,3087D971548C,3087D9717E6C,3087D97152CC,3087D9B19908,3087D9323888,3087D9317F28
1660222520,3.407268,0.8787870000000001,0,0,-80,0,0,0,0,0,0,-74,-81,0,0,0,0,0,-80,0,0,0,0,-45,0,0,0,0,0,0,-82,-77,-64,0,0,0,-81,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,-80,-46,0,-80,0,0,-55,-80,-67,0,0,0,0,-45,0,0,0,-75,0,0,0,-79,0,-75,0,-79
1660222522,3.5483212,0.8737575999999999,0,-75,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,0,0,0,0,0,-60,0,-73,0,0,0,0,0,0,-44,0,0,0,0,0,0,0,0,0,0,0,-44,0,0,0,0,-43,-67,0,0,0,0,0,-45,0,0,0,-51,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,-59,0,-73,0,0,0,0,0,0,0,0,0,0
1660222523,3.6803122000000004,0.8728134,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-78,0,0,0,-81,-48,0,0,0,0,0,-81,0,-73,0,0,0,0,0,-91,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-60,0,0,-49,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,-78,0,0,0,-79,0,-78,0,-80
1660222526,3.8808508,0.8751324,0,0,-76,0,0,0,0,0,0,0,-48,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-77,0,0,0,0,0,0,-77,0,0,0,-75,0,0,0,-76,0,0,0,-77,-78,-69,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,-50,-51,0,0,0,0,-50,0,0
1660222527,3.9412322,0.8759406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,-60,0,0,0,0,0,0,0,-55,-81,-72,0,-89,0,0,0,0,0,0,0,0,-80,0,0,0,0,-63,0,0,0,0,0,0,-63,0,0,-73,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,-61,0,0,0,0,-54,0,0,0,-55,0,0,0,0,0,0,-62,0,-78,0,-80,0,-62,0,0
1660222528,4.0115056000000004,0.8736659,0,0,-79,0,0,0,0,0,0,0,-80,0,0,0,0,0,-77,0,0,0,0,-57,0,0,0,0,0,0,-81,-77,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,-76,-57,0,0,0,0,-55,0,-65,0,-72,0,0,0,0,0,0,0,0,-85,0,-79,0,0,0,-79
1660222529,4.0807776,0.8726986999999999,0,-51,0,0,0,-71,0,0,0,0,-68,0,0,0,0,-71,-68,-66,0,0,0,-77,0,-52,-66,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,-65,0,-53,-68,0,-64,0,-76,0,0,0,0,0,-65,-77,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,-78,0,-51,0,0,0,0,0,0,0,0,0,0
1660222530,4.1919274,0.8690966,0,-81,-67,0,0,0,0,-70,-73,-78,0,-78,-69,0,0,0,-49,0,0,0,0,-69,0,0,0,0,0,0,-75,0,0,0,-78,0,-61,0,-64,0,0,0,0,0,-78,0,0,0,0,-81,0,-87,0,0,0,0,-80,0,0,-78,0,0,0,-79,0,-75,0,-61,0,-88,0,-62,0,0,0,-76,-71,-68,0,0,0,0,0,0,0,0,0,0,-70,0,-79,0,0,0,0,0,0,0,0,-52,0
1660222531,4.2782874,0.8614426,-69,0,-79,0,-79,0,-73,0,-71,0,-74,0,0,0,0,0,-74,0,0,-76,0,-76,0,0,0,-71,0,0,-76,0,0,-57,0,-75,-79,-57,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,-65,0,0,0,0,-49,0,0,0,0,0,-71,0,-78,-65,0,0,-69,0,-64,0,0,-72,-77,0,-77,0,0,0,0,0,0,0,-57,0,-78,0,0,-35,0,0,-76,0,0,-35,0,-82
1660222532,4.344328900000001,0.8484010000000001,0,0,-78,0,0,0,0,0,0,-62,0,0,0,0,0,0,-79,0,0,0,0,-40,0,0,0,0,0,0,-77,0,-61,0,0,0,-81,0,0,0,0,-80,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,-80,0,0,-77,-39,0,-80,0,-78,0,0,-58,0,0,0,0,-40,0,0,0,-78,0,0,0,0,0,-80,0,0
